name,lat,lng
Hvězdárna Františka Pešty,49.38541097482314,14.703429937362673
Hvězdárna a planetárium České Budějovice,48.97250941836347,14.470404982566835
Hvězdárna prof. Františka Nušla,49.131429474475226,14.99985694885254
Hvězdárna Kleť,48.86389251564978,14.284560084342958
Hvězdárna ve Vlašimi,49.69191507352198,14.894676804542543
Hvězdárna Tábor,49.41334650879766,14.667826294898989
Lidová hvězdárna Josefa Sadila,49.654599277796294,14.40935790538788
Svákovská hvězdárna,49.260670192849695,14.691547751426699
Hvězdárna Rokycany,49.75169459098855,13.602705001831056
Hvězdárna Plzeň,49.743721,13.3490752
Hvězdárna Františka Krejčího,50.21517461028293,12.905373573303224
Hvězdárna Kroměříž,49.2961925,17.4190804
Hvězdárna při SVČ DUHA Jeseník,50.22887264630418,17.206569314002994
Hvězdárna Jičín,50.43414471660682,15.340679883956911
"Hvězdárna Gymnázium, Havířov - Podlesí",49.77581512438951,18.460046052932743
Hvězdárna a planetárium v Hradci Králové,50.17727258758057,15.838809013366701
Hvězdárna barona Artura Krause,50.0256716,15.7669456
1. lidová hvězdárna - Pardubice,50.037041796516455,15.774827599525453
Ondřejovská hvězdárna,49.90921883881803,14.781412482261658
Hvězdárna Veselí nad Moravou,48.95413884547307,17.37022161483765
Hvězdárna Vsetín,49.3442301,17.9962839
Hvězdárna Vyškov,49.283789,17.022379
Hvězdárna a planetárium Ždánice,49.065773,17.0377843
Hvězdárna Žďár nad Sázavou,49.5643337,15.9229743
Hvězdárna Žebrák,49.87368699999999,13.898647
Hvězdárna Zlín,49.2175951,17.692558
Jezuitská hvězdárna v Litoměřicích,50.53580199999999,14.1285665
Lidová hvězdárna v Benátkách nad Jizerou,50.2887697,14.8109435
Hvězdárna Boskovice,49.48736051489213,16.665396094322208
Hvězdárna a planetárium Brno,49.20416,16.583882
Hvězdárna Gymnázia v Chebu,50.0762759,12.3624123
Hvězdárna Český Těšín,49.7459259,18.6130161
Ionosférická a telemetrická observatoř Panská Ves,50.5280519,14.567664
Hvězdárna Mladá Boleslav,50.4341777,14.910155
Hvězdárna Most-Hněvín,50.5202599,13.633284
Hvězdárna Teplice,50.6384139,13.8466442
Severočeská hvězdárna a planetárium v Teplicích,50.64546199999999,13.8524103
Hvězdárna L.Pračky v Nižboru,50.00016743086864,14.00238633155823
Hvězdárna Nový Bydžov,50.238957459839995,15.492578744888307
Hvězdárna Nový Jičín,49.59049719999999,18.0111067
Hvězdárna Nymburk,50.19101928254296,15.040766000747682
Hvězdárna Josefa Sienela - Olomouc,49.62195555555556,17.371781944444447
Hvězdárna Slavonín - Olomouc,49.57032965273727,17.215533256530765
Planetárium Ostrava,49.8307856,18.162868
Hvězdárna Rtyně v Podkrkonoší,50.5086944,16.0961101
Hvězdárna Jaroslava Trnky ve Slaném,50.2367159,14.0901286
Hvězdárna Stradouň,49.9703513,16.0651818
Hvězdárna Třebíč,49.2072256,15.8759365
Hvězdárna Turnov,50.5899637,15.1614911
Hvězdárna Uherský Brod,49.0377783,17.6461376
Hvězdárna Úpice,50.5067305,16.0115955
Hvězdárna Valašské Meziříčí,49.4637813,17.9736661
Hvězdárna L. Hejny ve Veselí nad Lužnicí,49.1853049,14.7085147
Štefánikova hvězdárna - Praha-Petřín,50.0813009,14.3979559
Hvězdárna Ďáblice,50.1409005,14.4767599
Planetárium Praha,50.10543835210266,14.427511096000671
Hvězdárna v Praze-Podolí,50.056773701947684,14.423723816871645
Astronomický ústav - AV ČR - Spořilov,50.04106255466031,14.476984441280367
Hvězdárna ČVUT v Praze Dejvicích,50.103504688379765,14.387170672416689
Hvězdárna Prostějov,49.4689939,17.0982605
Hvezdáreň a planetárium Prešov,48.99975080000001,21.2563379
Vihorlatská observatory Humenné,48.9372209,21.9054694
Slovenská ústredná hvezdáreň,47.8728887,18.1912174
Hvezdáreň v Banskej Bystrici,48.71789799999999,19.1535164
Krajská hvezdáreň v Žiline,49.2223451,18.7411334
Hvezdáreň a planetárium M.R. Štefánika v Hlohovci,48.419759797689935,17.7971488237381
Hvezdáreň v Rimavskej Sobote,48.37401159999999,20.0051433
Kysucká hvezdáreň,49.307336,18.7653826
Hvezdáreň Michalovce,48.7660816,21.8996761
Planetárium Košice,48.7227597,21.2573147
Hvezdáreň Roztoky,49.3993562906839,21.48338377475739
Astronomické observatórium na Kolonickom sedle,48.93504600000001,22.2737414
Krajská HaP Maximiliána Hella,48.5862623,18.8515913
Geodetická observatoř Pecný,49.914044796693005,14.786701798439028
Observatoř Skalnaté Pleso,49.18951178688268,20.23415565490723
Observatoř Lomnický Štít,49.1952051457125,20.213030576705936
Astronomical observatory Krakov,50.05404660000001,19.8261547
Astronomical observatory Tadeusz Banachiewicz,49.7666964,20.0596243
Astronomical observatory Belgrad,44.8021116,20.5134943
Astronomical observatory Granada,37.19046889999999,-3.593867899999999
Astronomy centre Greenwich,51.476986200994055,-0.0006061792373657228
Astronomy centre Whithorn,54.72350399999999,-4.475587
Geneva Observatory,46.3083901,6.1340666
Luzern - Sternwarte Hubelmatt,47.0365927,8.305247600000001
Zurich - Urania Sternwarte,47.3743,8.539399999999999
"Astronomical Observatory Foundation Of Tradate ""Messier 13""",45.7122904,8.931263900000003
Observatoire de Vevey,46.46609039999999,6.850282399999999
Uecht Observatory,46.8524851,7.452887
Observatoire Astronomique Jurassien,47.35176310000001,7.420686300000001
Sternwarte Uitikon,47.37202560000001,8.458945600000002
Sternwarte Schaffhausen,47.7057106,8.6097004
Bagnoud Observatory,46.22824540000001,7.6126654
Bleien Radio Observatory,47.3398674,8.1116435
Astronomical Observatory of Saint Barthelemy,45.7896917,7.4784382
Neuchâtel Observatory,47.000346,6.9533333
"Astronomical Observatory ""Giuseppe Piazzi""",46.1888898,9.979721900000001
Sphinx,46.54752029345736,7.9848718643188485
Sormano Astronomical Observatory,45.8829544,9.2291456
Sternwarte mirasteilas,46.804239,9.2241847
Sternwarte Sirius,46.7392979,7.726184399999999
G.V. Schiaparelli Observatory,45.8684138,8.7706962
Observatoire Astronomique de Mont-Soleil,47.1640938,6.989483499999999
INAF-Brera Astronomical Observatory,45.70589040000001,9.428411899999999
Brera Astronomical Observatory,45.47157999999999,9.188918999999999
Astronomical Observatory Civic Gabriele Barletta,45.519836,9.3091139
Brescia Astronomical Observatory,45.6649871,10.2397366
Astronomical Observatory. Tadeusz Banachiewicz,49.7666964,20.0596243
"Planetarium Śląskie, Chorzów",50.29064049999999,18.9920806
Obserwatorium Astronomiczne Królowej Jadwigi,49.7761165,21.0900807
Piwnice Astronomical Observatory,53.095158,18.5599422
Poznań Observatory,52.394317,16.87464079999999
Meteorological Mountain Observatory,50.73642880000001,15.7397118
Olsztyn Observatory,53.772462,20.48883989999999
Warsaw University Observatory,52.21697899999999,21.0275544
Wysokogórskie Obserwatorium Meteorologiczne IMGW-PIB na Kasprowym Wierchu,49.2325111,19.981857
Obserwatorium Róźana,50.68401100000001,16.2309859
"Instytut Astronomiczny Uniwersytetu Wrocławskiego, Obserwatorium Astronomiczne",51.4740213,16.6585152
Planetarium i Obserwatorium Astronomiczne im. Arego Sternfelda,51.77806349999999,19.4584731
Youth Observatory,50.03310700000001,20.220805
Konkoly Observatory,47.4996973,18.9642969
Polaris Csillagvizsgáló,47.5529204,19.0254776
ELTE Gothard Asztrofizikai Obszervatórium,47.2577778,16.60305559999999
Debreceni Napfizikai Obszervatórium,47.559423,21.6215117
Zselici Csillagpark,46.2365579,17.7652007
B&B Csillagvizsgáló. Kft,46.432137583517196,19.491709470748905
Csillagvizsgáló Intézet,46.1803058,19.0110683
CSFK GGI Széchenyi István Geofizikai Obszervatórium,47.63196264442757,16.717924475669864
Szegedi Csillagvizsgáló,46.236325694413935,20.15748739242554
Piszkéstetői csillagvizsgáló,47.9170762,19.8949599
Terkán Lajos Bemutató Csillagvizsgáló,47.19946696300897,18.401890397071842
Leopold Figl Observatory,48.0825342,15.9207237
Kuffner Observatory,48.212787,16.2912692
Johannes-Kepler-Sternwarte Linz,48.2935191,14.2683719
Universitätssternwarte Wien,48.2319086,16.3341591
Observatorium Vienna,48.23234709999999,16.3324612
VEGA Sternwarte Salzburg,47.937401,13.0162701
Kanzelhoehe Solar Observatory,46.6775795,13.9017338
Astronomical observatory Gahberg,47.9127264,13.6084065
Sonnblick Observatory,47.05396993466245,12.957338690757751
Purgathofer-Sternwarte,48.29556040000001,16.2859921
Sternwarte Höhenberg,48.7699066,14.8631401
Kepler Remote Observatorium,47.9086253,14.4078281
Sternwarte Gmunden,47.92355999999999,13.798972
Conrad Observatory,47.92822719999999,15.8592742
ANTARES NÖ Amateurastronomen - NÖ Volkssternwarte,48.0880637,15.7564249
Lustbühel - University of Graz,47.0671139,15.4933583
Osservatorio privato Meyer/Obermair,48.4129959,14.2763981
Sternwarte Hohe DIRN,47.908308,14.4176777
Swabian Observatory e.V.,48.782425,9.19643
Hamburg Observatory,53.48019,10.23938
Archenhold Observatory,52.4858695,13.4763537
Johann-Kern-Sternwarte Wertheim,49.7420293,9.540403999999999
Regiomontanus-Observatory,49.4645,11.11021
Bavarian Public Observatory Munich,48.121922,11.606863
Karl Schwarzschild Observatory,50.9816709,11.7115233
Sternwarte Feuerstein,49.79003300000001,11.132937
Hans-Nüchter-Sternwarte,50.5545121,9.697880800000002
Planetarium & Observatory Sessenbach,50.476204,7.6443639
Sternwarte Aachen,50.758665,6.070275000000001
"Sternwarte, Greifswaldská universita",54.0949653,13.374584
"Wilhelm-Foerster-Sternwarte (Berlin, Germany)",52.4573997,13.3512043
Universitäts-Sternwarte München,48.145347150881754,11.6068571805954
Peterberg Observatory,49.571349,6.999222
Walter-Hohmann-Sternwarte,51.39382032074739,6.9783514738082895
Neckar-Alb-Sternwarte Nürtingen Hvězdárna,48.61573250000001,9.3382334
Welzheim Observatory,48.8741187,9.596159100000001
Public Observatory Paderborn e.V.,51.7467098,8.709372699999998
Volkssternwarte Köln,50.9230524331105,6.930457949638367
Sternwarte Bautzen,51.1622443,14.4569059
Hohenpeißenberg Meteorological Observatory,47.8014781,11.0095483
Volkssternwarte Adolph Diesterweg,51.11602399999999,13.622403
Physikalischer Verein,50.1169424,8.651475900000003
Sonnenobservatorium Bad Salzschlirf,50.62606499999999,9.4976532
Volkssternwarte Darmstadt,49.8425,8.6619444
Sternwarte der Universität Siegen,50.91008559999999,8.0255016
Fritz-Weithas-Sternwarte,49.27284759999999,11.4864066
Observatory & Planetarium Schwerin,53.61690999999999,11.42288
"Schul-und Volkssternwarte ""Johannes Kepler""",50.81462029999999,12.3832065
Public Observatory Regensburg,49.0174396,12.09044
Volkssternwarte Ennepetal,51.321784,7.399861800000002
Heidelberg-Königstuhl State Observatory,49.3982006,8.724643
Observatory of the University of Applied Sciences Kiel,54.33352,10.180297
Stockert Radio Telescope,50.56930330866795,6.721937656402589
Sternwarte Schauinsland,47.91367380000001,7.904677400000001
EXPO-Sternwarte Melle,52.26262800000001,8.336649999999999
Sternwarte Höfingen,48.81936799999999,9.005622999999998
Sternwarte Zollern-Alb,48.288044,8.677970799999999
Zweibrücken Observatory,49.2614897,7.359572500000001
Sternwarte Riesa,51.299767824956,13.256742954254152
Sternwarte Wendelstein,47.70372049999999,12.0125011
Reutlingen Observatory and Planetarium,48.4976897,9.2147717
Einsteinova věž,52.3861309,13.0655548
Sternwarte Stiftung Volkssternwarte Trebur e.V.,49.92555,8.411299999999999
Universitätssternwarte Pfaffenwald,48.7466267,9.101778600000001
Planetarium und Sternwarte Ursensollen,49.3979553,11.7403443
Dr.-Remeis-Sternwarte,49.8850124,10.8884929
Volkssternwarte Ubbedissen,51.988233,8.629536
Astrophysical Institute and University Observatory,50.92526789999999,11.58292
Historical Observatory Göttingen,51.52867000000001,9.94296
Sonneberg Observatory,50.3770243,11.1902648
Volkssternwarte Berg,47.96048099999999,11.365332
Zeiss Planetarium Drebach,50.673786,13.012821
Observatory of the Natural Scientific Society Osnabrück,52.252702,8.323383
Sternwarten Nordsachsen,51.4502596,12.6263401
Planetarium am Insulaner,52.4576018,13.3494498
Hans-Haffner-Sternwarte,49.793935,9.795971
Alte Sternwarte,51.97655053376605,7.586730122566224
Westfälische Volkssternwarte,51.6237084,7.1805926
Planetarium and Observatory Schneeberg,50.598341,12.6459971
Bodensee Planetarium und Sternwarte,47.64130304568213,9.160526990890505
School Observatory and Planetarium Rodewisch,50.52670453562358,12.415232062339784
Geodetic Observatory Wettzell,49.14503,12.87829
Volkssternwarte Bonn e.V.,50.727643,7.098186000000001
Robert-Mayer-Volks- und Schulsternwarte Heilbronn,49.13936899999999,9.2271403
Leibniz Institute for Astrophysics Potsdam,52.4039373,13.1014067
Verein Suhler Sternfreunde e. V. / Schul- und Volkssternwarte “K. E. Ziolkowski” in Suhl,50.602541,10.698172
Kepler-Sternwarte,48.7525564,8.8601286
Sternwarte Hagen e.V.,51.345536,7.455863199999998
"House of Astronomy, Heidelberg",49.396088,8.724174
Astronomisches Zentrum Schkeuditz,51.39554,12.22558
Zeiss Major Planetarium,52.5429937,13.4280281
Sternwarte Herne,51.52646129946884,7.175413370132446
"Astronomische Station ""Johannes R. Kepler"" Halle-Kanena e.V.",51.4572638,12.0383082
Planetarium Jena,50.9318109,11.5871856
Olbersovo planetárium,53.06987002054073,8.807682394981386
Urania Sternwarte,48.21153889999999,16.38426669999999
Astronomischer Verein der Grafschaft Bentheim e. V.,52.50089999999999,6.969149900000001
Planetarium Mannheim,49.4773238,8.4930371
Astronomische Vereinigung Vulkaneifel am Hohen List e.V.,50.1614331,6.849295
Planetarium Bochum,51.4853995,7.2278444
Effelsberg 100-m Radio Telescope,50.5248229,6.8836239
Carl-Zeiss Planetarium Stuttgart,48.78332,9.186880000000002
Hamburg Planetarium,53.5972593,10.0089411
Förderverein der Dr. Karl Remeis-Sternwarte e.V,49.88500029999999,10.8884971
Brorfelde Observatory,55.6224125,11.6705865
Ole Rømer Observatory,56.127671,10.193164
Wieth-Knudsen Observatoriet,56.0505156,12.0974917
Urania Observatory,57.0287388185341,9.94892477989197
Danmarks Meteorologiske Institut Satellitmodtagestation Smidsbjerg,55.9064608,12.4135423
Samsø Observatorium,55.807997,10.638082
Orion Planetarium,55.359085,9.217755
planetárium Tycho Brahe,55.67453980000001,12.5581583
 Central Geophysical Observatory,50.3920897,30.5321052
Астрономічна обсерваторія ЛНУ імені Івана Франка м,49.8318459,24.02999709999999
Uzhhorodsʹka Observatoriya,48.6334414,22.2984831
Laboratoriya Kosmichnykh Doslidzhenʹ Uzhnu,48.63344009999999,22.2985713
Kharkiv Planetarium named after Yuri Gagarin,49.9957706,36.2286691
"Meteostantsiya, Observatoriya Khnu",50.00249129999999,36.2303082
Observatorio de Aves,43.4446938,-7.8504814
Observatorio Astronomico de Ribadeo,43.5060114,-7.060599799999999
Observatorio Astronómico Municipal de LeónPedro Duque,42.5779126,-5.566777999999999
Observatorio Astronómico de Cantabria,42.7706574,-3.944445600000001
Pamplona Planetarium,42.8085329,-1.6645306
Observatoire de Dax,43.6939411,-1.0316461
Pic du Midi Observatory,42.9370374,0.14117
Centre Astronòmic del Pedraforca,42.2286984,1.7360796
Observatori del Montsec,42.0516552,0.7296973000000001
Observatori de Pujalt,41.71711789999999,1.4240966
Observatori Astronòmic de Castelltallat,41.7937674,1.6323368
Observatori astronòmic Can Roig,41.8267914,2.8962919
Observatori Astronòmic Albanyà,42.3069558,2.7116519
Observatoire du Soler,42.68344930000001,2.7992047
Observatoire du Mont Aigoual,44.1213372,3.581811700000001
Observatoire astronomique d'Aniane,43.6837228,3.6020679
CosmoDrôme - Observatoire Claude Tavenier,44.2035026,5.5104899
Astronomical Observatory Vaison Ventoux,44.2615371,5.0452866
Lyon Observatory,45.6938864,4.7829963
Observatoire Du Mont D'arbois/Mont D'arbois Astronomie,45.85664610000001,6.662943200000001
Observatoire De St-Caprais - Amateurs,43.8738637,1.7184448
GerSpatial SAS,43.9663379,0.5037775999999999
Observatoire Astronomique GAP 47,44.463697,1.000733
Bordeaux Observatory,44.8354911,-0.5235226
Observatoire De Montalon,44.9975637,-0.4529312
Observatoire,48.2932517,2.4328276
Observatory Camille Flammarion,48.6930111,2.3711687
Uranoscope of Ile de France,48.7358651,2.7370133
l'Observatoire de Paris,48.8358623,2.3364328
Observatoire de la Sorbonne - Société Astronomique de France (SAF),48.8487784,2.3436006
Observatoire de Tauxigny,47.2234588,0.8329887
Observatoire Astronomique de Chinon,47.16929299999999,0.2755369999999999
Former Nantes astronomical observatory,47.2115851,-1.5660359
Observatoire Astronomique de la Pointe du Diable,48.3609189,-4.572809100000001
Observatoire Astronomique d'Hesloup,48.398117,0.0298334
Laboratory of astronomy of Lille,50.615111,3.0714733
Observatoire d'Astronomie Namur,50.46568820000001,4.860797100000001
Volkssterrenwacht Armand Pien,51.04559339999999,3.723965
Observatoire royal de Belgique,50.7986591,4.358798799999999
Volkssterrenwacht Mira,50.9345729,4.3688692
Sterrenwacht Limburg,50.92380639999999,5.9801687
Observatory Halley,51.7034259,5.4874249
Foundation Observatory Rijswijk,52.02612990000001,4.3146152
Leiden Observatory,52.1548526,4.483884
Observatory Hellendoorn,52.3658472,6.443682700000001
Cosmos observatory,52.4153219,6.965527499999999
Blaauw Sterrenwacht,53.24018179999999,6.536290900000001
